0 0 0.25 0 	0 0.1 0 0 	0 0 0 0 	
0 0 0.249588 0 	0 0.0998333 4.90333e-06 0 	0 0 0 0 	
0 0 0.248766 0 	0 0.0995006 0 0 	0 0 0 0 	
0 0 0.247536 0 	0 0.0990025 0 0 	0 0 0 0 	
0 0 0.245899 0 	0 0.0983403 0 0 	0 0 0 0 	
0 0 0.243861 0 	0 0.0975152 0 0 	0 0 0 0 	
0 0 0.241425 0 	0 0.0965291 0 0 	0 0 0 0 	
0 0 0.238595 0 	0 0.0953836 0 0 	0 0 0 0 	
0 0 0.235377 0 	0 0.0940812 0 0 	0 0 0 0 	
0 0 0.231777 0 	0 0.0926241 0 0 	0 0 0 0 	
0 0 0.227802 0 	0 0.091015 0 0 	0 0 0 0 	
0 0 0.223458 0 	0 0.0892569 0 0 	0 0 0 0 	
0 0 0.218755 0 	0 0.087353 0 0 	0 0 0 0 	
0 0 0.213699 0 	0 0.0853067 0 0 	0 0 0 0 	
0 0 0.208301 0 	0 0.0831216 0 0 	0 0 0 0 	
0 0 0.202569 0 	0 0.0808017 0 0 	0 0 0 0 	
0 0 0.196514 0 	0 0.0783509 0 0 	0 0 0 0 	
0 0 0.190147 0 	0 0.0757736 0 0 	0 0 0 0 	
0 0 0.183478 0 	0 0.0730743 0 0 	0 0 0 0 	
0 0 0.176519 0 	0 0.0702578 0 0 	0 0 0 0 	
0 0 0.169283 0 	0 0.0673288 0 0 	0 0 0 0 	
0 0 0.161782 0 	0 0.0642925 0 0 	0 0 0 0 	
0 0 0.154028 0 	0 0.0611541 0 0 	0 0 0 0 	
0 0 0.146036 0 	0 0.057919 0 0 	0 0 0 0 	
0 0 0.137818 0 	0 0.0545928 0 0 	0 0 0 0 	
0 0 0.129389 0 	0 0.0511811 0 0 	0 0 0 0 	
0 0 0.120764 0 	0 0.0476899 0 0 	0 0 0 0 	
0 0 0.111956 0 	0 0.0441249 0 0 	0 0 0 0 	
0 0 0.102982 0 	0 0.0404924 0 0 	0 0 0 0 	
0 0 0.0938553 0 	0 0.0367984 0 0 	0 0 0 0 	
0 0 0.0845927 0 	0 0.0330492 0 0 	0 0 0 0 	
0 0 0.0752095 0 	0 0.0292512 0 0 	0 0 0 0 	
0 0 0.0657215 0 	0 0.0254108 0 0 	0 0 0 0 	
0 0 0.0561446 0 	0 0.0215345 0 0 	0 0 0 0 	
0 0 0.046495 0 	0 0.0176287 0 0 	0 0 0 0 	
0 0 0.0367889 0 	0 0.0137 0 0 	0 0 0 0 	
0 0 0.0270426 0 	0 0.00975505 0 0 	0 0 0 0 	
0 0 0.0172724 0 	0 0.00580042 0 0 	0 0 0 0 	
0 0 0.00749455 0 	0 0.00184271 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
0 0 0 0 	0 0 0 0 	0 0 0 0 	
